1-call-site,36,67,91,68,86,36,66,34,67,86,94,36,38,36,91,69,90,148,38,148,65,65,63,38,148,90,36,38,98,88,92,142
1-object,16,18,14,20,16,20,14,14,14,12,16,20,16,76,14,142,18,16,12,14,16,14,16,16,16,14,303,14,12,205,12,16
1-object-1-type,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1-type,64,18,66,14,74,14,120,58,62,72,116,66,12,66,16,68,68,14,43,14,16,12,64,14,66,16,16,62,74,12,62,68
2-call-site,87,34,156,140,40,68,138,100,90,135,63,85,30,34,91,87,34,68,36,147,36,38,84,431,158,134,38,96,132,205,195,101
abduce,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ancestor,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
andersen,14,16,10,14,12,14,14,16,63,116,14,12,14,63,10,59,12,14,12,12,14,64,12,12,12,12,12,61,16,14,10,42
animals,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
buildwall,1329,1393,1274,364,1392,291,1657,662,191,74,58,1871,1222,779,1384,1296,409,1583,2289,993,1294,1303,1323,663,934,278,726,1888,718,759,2267,700
clique,39,10,10,10,10,29,10,41,39,10,26,69,12,22,10,10,25,10,10,10,28,12,38,10,12,29,16,59,12,23,10,23
cliquer,74,112,72,86,92,76,74,94,60,78,86,116,84,86,94,80,78,58,48,74,92,106,84,46,52,52,46,52,110,104,118,94
downcast,106,104,94,562,536,545,567,96,100,541,96,106,532,536,106,537,557,539,537,558,559,540,561,557,1010,543,513,542,534,102,100,102
escape,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
inflamation,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,38,36,34,34,34,34,34,34,34,34
modref,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
nearlyscc,1823,6671,5350,1848,356,553,1188,5379,878,1064,1690,3711,889,2819,939,1396,638,1194,2134,908,650,5418,6021,5989,1031,3556,1057,1012,5409,1606,7297,4893
path,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
polysite,98,106,104,104,104,104,108,98,106,106,110,98,98,112,118,106,102,104,104,112,100,106,110,104,104,106,100,102,104,100,98,108
rsg,18,16,113,20,16,20,16,20,16,16,18,18,18,18,18,18,121,18,76,18,20,18,18,18,75,20,16,16,76,16,18,77
rvcheck,1083,4653,3570,3357,2331,2791,1333,2937,3739,1915,1347,4237,2455,4347,2810,3799,2104,3390,3685,2027,4026,1325,4362,2699,4508,800,3046,4028,2599,4520,1669,4039
scc,632,801,1114,636,800,808,401,1187,909,679,672,271,1019,623,769,675,936,919,849,349,317,451,515,705,994,740,872,1152,787,219,964,617
sgen,42,44,42,42,42,42,42,42,42,44,42,42,42,42,44,42,42,42,42,42,42,42,42,42,44,42,42,42,42,42,42,44
ship,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
small,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
sql-01,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
sql-02,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
sql-03,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
sql-04,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-05,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
sql-06,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-07,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
sql-08,374,254,523,409,254,434,408,319,417,390,348,479,269,407,403,217,408,403,250,259,218,481,465,355,511,317,357,339,371,508,390,515
sql-09,76,79,82,71,68,92,73,73,94,70,62,71,79,84,51,79,59,75,78,77,76,70,69,61,73,66,30,72,84,76,68,76
sql-10,158,100000000,100000000,574,509,100000000,100000000,389,100000000,100000000,189,100000000,100000000,100000000,100000000,348,683,588,507,100000000,140,100000000,425,100000000,216,3172,571,613,500,100000000,663,100000000
sql-11,728,778,627,861,995,409,615,784,841,904,935,828,830,861,680,774,568,522,819,544,943,873,963,627,758,741,746,525,656,410,461,534
sql-12,52,31,52,31,25,31,52,52,58,58,31,25,58,25,52,58,31,52,25,25,31,52,25,58,25,31,52,31,58,31,58,58
sql-13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
sql-14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
sql-15,576,1077,637,1173,744,1016,636,945,630,752,1034,783,929,618,765,1099,724,727,1069,584,937,692,547,635,1075,1064,651,767,964,1101,597,1111
traffic,12,12,12,12,12,14,14,12,14,14,12,12,14,12,12,12,12,12,12,14,12,12,12,12,12,14,12,12,12,12,12,14
union-find,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
